timestamp,open,high,low,close
1784871120,1878.5,1878.51,1878.3,1878.3
1784871180,1878.21,1878.29,1878.21,1878.22
1784871240,1878.23,1878.59,1878.23,1878.59
1784871300,1878.6,1878.92,1878.36,1878.36
1784871360,1878.36,1878.75,1878.28,1878.75
1784871420,1878.75,1879.35,1878.75,1879.18
1784871480,1879.18,1879.18,1878.41,1878.61
1784871540,1878.61,1878.62,1878.45,1878.45
1784871600,1878.45,1878.45,1878.36,1878.39
1784871660,1878.39,1878.4,1878.39,1878.4
1784871720,1878.4,1878.4,1876.25,1878.14
1784871780,1878.2,1878.56,1878.19,1878.2
1784871840,1878.25,1879.88,1878.25,1879.58
1784871900,1879.55,1880.5,1879.55,1880.31
1784871960,1880.31,1880.31,1879.88,1879.88
1784872020,1879.87,1880.51,1879.87,1880.51
1784872080,1880.51,1880.94,1879.99,1879.99
1784872140,1879.94,1879.94,1879.15,1879.15
1784872200,1879.15,1879.5,1878.36,1878.36
1784872260,1878.37,1878.92,1878.37,1878.79
1784872320,1878.79,1878.79,1878.52,1878.52
1784872380,1878.53,1878.53,1878.26,1878.26
1784872440,1878.26,1880.25,1877.59,1880.03
1784872500,1880.03,1880.03,1879.73,1879.73
1784872560,1879.73,1879.73,1879.62,1879.71
1784872620,1879.7,1879.78,1879.54,1879.67
1784872680,1879.66,1879.66,1879.54,1879.55
1784872740,1879.54,1879.7,1879.46,1879.7
1784872800,1879.69,1879.69,1879.31,1879.62
1784872860,1879.62,1880.26,1879.53,1879.61
1784872920,1879.55,1879.55,1879.4,1879.44
1784872980,1879.56,1879.75,1879.45,1879.46
1784873040,1879.44,1880.2,1879.43,1880.2
1784873100,1880.26,1880.26,1879.54,1879.54
1784873160,1879.53,1879.53,1879.5,1879.51
1784873220,1879.5,1879.5,1879.41,1879.42
1784873280,1879.41,1880.59,1877.3,1880.53
1784873340,1880.53,1880.9,1880.34,1880.6
1784873400,1880.6,1881.31,1880.14,1880.2
1784873460,1880.14,1880.39,1879.72,1879.84
1784873520,1879.95,1880.68,1879.79,1880.68
1784873580,1880.67,1880.67,1879.8,1880.26
1784873640,1880.26,1880.62,1880.0,1880.45
1784873700,1880.59,1880.59,1879.94,1879.99
1784873760,1880.15,1880.89,1879.82,1880.86
1784873820,1880.81,1880.97,1880.32,1880.33
1784873880,1880.32,1880.45,1880.07,1880.45
1784873940,1880.45,1884.63,1880.45,1884.4
1784874000,1884.39,1884.55,1883.11,1883.33
1784874060,1883.33,1884.0,1883.22,1884.0
1784874120,1884.02,1884.39,1882.41,1882.9
1784874180,1882.86,1883.09,1882.07,1882.8
1784874240,1882.89,1883.7,1882.8,1883.7
1784874300,1883.78,1885.55,1883.76,1884.49
1784874360,1884.49,1884.49,1883.22,1883.65
1784874420,1883.64,1884.07,1882.8,1882.8
1784874480,1882.74,1882.92,1882.45,1882.54
1784874540,1882.53,1883.26,1882.32,1883.0
1784874600,1883.1,1883.1,1881.18,1881.18
1784874660,1881.41,1883.15,1881.41,1883.1
1784874720,1883.17,1883.25,1882.47,1882.47
1784874780,1882.47,1883.11,1882.26,1883.06
1784874840,1882.91,1884.14,1882.91,1884.14
1784874900,1884.15,1885.19,1884.15,1884.88
1784874960,1884.88,1886.36,1884.84,1885.77
1784875020,1885.71,1886.65,1885.14,1886.65
1784875080,1886.65,1886.76,1885.95,1886.4
1784875140,1886.4,1886.63,1886.19,1886.19
1784875200,1886.19,1886.19,1885.74,1886.19
1784875260,1886.19,1886.19,1885.33,1885.85
1784875320,1885.78,1885.78,1885.55,1885.55
1784875380,1885.55,1885.55,1885.48,1885.48
1784875440,1885.48,1885.95,1885.24,1885.24
1784875500,1885.25,1885.25,1884.36,1884.39
1784875560,1884.36,1885.4,1884.3,1885.4
1784875620,1885.4,1885.87,1885.4,1885.87
1784875680,1885.78,1885.85,1885.58,1885.82
1784875740,1885.83,1886.14,1884.58,1884.59
1784875800,1884.59,1885.6,1884.59,1885.15
